Offer Title,Description,Link,Eligible Credit Cards,Eligible Debit Cards
Fresh/Grocery/Pharma Instant Discount (no code),"10% instant discount, up to Rs.300 on eligible Amazon Fresh, Grocery & Pharma orders (per T&Cs). Amazon India",https://www.amazon.in/promotion/details/popup/A32D9QATTE8OOC,Canara Bank Mastercard Standard Credit Card,
Fresh/Grocery/Pharma Instant Discount (no code),"10% instant discount, up to Rs.300 on eligible Amazon Fresh, Grocery & Pharma orders (per T&Cs). Amazon India",https://www.amazon.in/promotion/details/popup/A32D9QATTE8OOC,Canara Bank Mastercard Gold Secured Credit Card,
Fresh/Grocery/Pharma Instant Discount (no code),"10% instant discount, up to Rs.300 on eligible Amazon Fresh, Grocery & Pharma orders (per T&Cs). Amazon India",https://www.amazon.in/promotion/details/popup/A32D9QATTE8OOC,Canara Bank Mastercard Gold Credit Card,
Fresh/Grocery/Pharma Instant Discount (no code),"10% instant discount, up to Rs.300 on eligible Amazon Fresh, Grocery & Pharma orders (per T&Cs). Amazon India",https://www.amazon.in/promotion/details/popup/A32D9QATTE8OOC,Canara Bank VISA Gold Secured Credit Card,
Fresh/Grocery/Pharma Instant Discount (no code),"10% instant discount, up to Rs.300 on eligible Amazon Fresh, Grocery & Pharma orders (per T&Cs). Amazon India",https://www.amazon.in/promotion/details/popup/A32D9QATTE8OOC,Canara Bank VISA Classic Credit Card,
Fresh/Grocery/Pharma Instant Discount (no code),"10% instant discount, up to Rs.300 on eligible Amazon Fresh, Grocery & Pharma orders (per T&Cs). Amazon India",https://www.amazon.in/promotion/details/popup/A32D9QATTE8OOC,Canara Bank Rupay Platinum Credit Card,
Fresh/Grocery/Pharma Instant Discount (no code),"10% instant discount, up to Rs.300 on eligible Amazon Fresh, Grocery & Pharma orders (per T&Cs). Amazon India",https://www.amazon.in/promotion/details/popup/A32D9QATTE8OOC,Canara Bank Visa Corporate Credit Card,
Fresh/Grocery/Pharma Instant Discount (no code),"10% instant discount, up to Rs.300 on eligible Amazon Fresh, Grocery & Pharma orders (per T&Cs). Amazon India",https://www.amazon.in/promotion/details/popup/A32D9QATTE8OOC,Canara Bank Rupay Platinum Secured Credit Card,
Fresh/Grocery/Pharma Instant Discount (no code),"10% instant discount, up to Rs.300 on eligible Amazon Fresh, Grocery & Pharma orders (per T&Cs). Amazon India",https://www.amazon.in/promotion/details/popup/A32D9QATTE8OOC,Canara Bank Mastercard Platinum Credit Card,
Fresh/Grocery/Pharma Instant Discount (no code),"10% instant discount, up to Rs.300 on eligible Amazon Fresh, Grocery & Pharma orders (per T&Cs). Amazon India",https://www.amazon.in/promotion/details/popup/A32D9QATTE8OOC,Canara Bank Visa Platinum Credit Card,
Fresh/Grocery/Pharma Instant Discount (no code),"10% instant discount, up to Rs.300 on eligible Amazon Fresh, Grocery & Pharma orders (per T&Cs). Amazon India",https://www.amazon.in/promotion/details/popup/A32D9QATTE8OOC,Canara Bank Rupay Select Credit Card,
Fresh/Grocery/Pharma Instant Discount (no code),"10% instant discount, up to Rs.300 on eligible Amazon Fresh, Grocery & Pharma orders (per T&Cs). Amazon India",https://www.amazon.in/promotion/details/popup/A32D9QATTE8OOC,Canrara Bank Visa Gold Credit Card,
Fresh/Grocery/Pharma Instant Discount (no code),"10% instant discount, up to Rs.300 on eligible Amazon Fresh, Grocery & Pharma orders (per T&Cs). Amazon India",https://www.amazon.in/promotion/details/popup/A32D9QATTE8OOC,Canara Bank Mastercard World Credit Card,
Fresh/Grocery/Pharma Instant Discount (no code),"10% instant discount, up to Rs.300 on eligible Amazon Fresh, Grocery & Pharma orders (per T&Cs). Amazon India",https://www.amazon.in/promotion/details/popup/A32D9QATTE8OOC,Canara Bank Rupay Select Secured Credit Card,
Fresh/Grocery/Pharma Instant Discount (no code),"10% instant discount, up to Rs.300 on eligible Amazon Fresh, Grocery & Pharma orders (per T&Cs). Amazon India",https://www.amazon.in/promotion/details/popup/A32D9QATTE8OOC,Canara Bank Rupay Classic Credit Card,
